Title,Author,Journal,Year,Status,Note,Type
Graph signal processing techniques for analyzing aviation disruptions,"M. Z. Li, K. Gopalakrishnan, K. Pantoja, H. Balakrishnan",Transportation Science,2020,Accepted,,Journal
Spectral approach towards analyzing airport performance and disruptions,"M. Z. Li, K. Gopalakrishnan, K. Pantoja, H. Balakrishnan",Thirteenth Air Traffic Management Research and Development Seminar,2019,Published,Best Paper: Performance Analysis and Metrics,Conference
Minimum energy designs for model selection,"K. Pantoja, D. E. Jones, R. Tuo, H. Sang",,,In Progress,,
